pc1,pc2,sparsity
-0.20660335,-0.04396659,2
-0.1080067,0.1895337,4
0.4105735,-0.15382189,2
0.59877485,-0.17426641,1
0.052427303,-0.28807747,4
-0.14173548,-0.16592053,2
0.62861377,-0.005932586,1
0.35413048,-0.028005283,1
-0.010350306,-0.28780073,1
-0.07916016,0.229315,2
-0.18038908,-0.25544056,2
-0.056695767,-0.023186654,1
-0.098111965,0.16945389,128
-0.30210754,0.020892126,8
-0.25906178,-0.14354114,256
-0.3549692,0.00863312,1
-0.032219876,-0.19866072,1
-0.19450718,-0.06412236,2
0.4318521,0.11406753,1
-0.16141751,0.17360026,32
-0.021275295,-0.018352607,1
-0.1953131,0.07680167,96
-0.22830711,-0.10187559,1
-0.2118945,-0.164329,8
-0.08793042,-0.30901712,20
-0.15209542,0.05277668,4
-0.28537288,0.01724207,1024
-0.376278,0.11877212,2
-0.27034694,0.051271275,1
0.4670518,-0.033382393,1
0.13203338,0.007212097,1
0.22699244,-0.0807556,4
-0.27198005,-0.10666129,12
-0.24930263,-0.2069407,1
-0.15449338,-0.2665366,4
-0.15727165,-0.13145301,128
0.19717874,0.05595323,4
0.46525925,-0.2256151,2
-0.186985,-0.24795622,2
-0.23338091,0.047493026,2
0.09059664,-0.23247842,4
-0.10472876,0.23888075,2
0.41557497,-0.08698791,1
-0.2095119,-0.11257621,192
-0.113382086,0.36518306,1
0.6603571,-0.10654917,1
-0.36232907,0.087130986,1
-0.38162494,0.15042944,48
-0.09607131,0.07131031,2
-0.2703266,-0.22903602,1
0.59344333,-0.106045656,1
0.39316124,0.05762015,2
-0.2232051,0.042477027,2
-0.059093576,0.10050294,16
0.06442345,0.35888195,2
0.04775954,0.04335545,2
-0.123780556,0.21174796,8
-0.267397,0.2983467,2
-0.21882518,0.018374484,2
-0.13134821,-0.36837554,32
0.2207428,-0.038542945,1
0.033282533,0.2886451,1
-0.06650273,-0.00663671,2
0.39476117,-0.013959312,2
-0.082238555,0.32049027,2
-0.034791168,-0.2944228,64
0.17794564,-0.027865462,2
-0.19971077,0.260281,2
0.6349736,0.12063443,1
-0.2501777,-0.091217175,4
0.34899807,0.020840472,1
-0.0790528,0.038080923,8
-0.11422253,-0.22418386,2
-0.06951931,0.35988182,1
-0.23082973,-0.3241714,10
-0.38569674,-0.070295066,4
-0.2118073,-0.09529959,2
-0.024924606,-0.24090187,1
0.32973984,-0.08625537,1
-0.2429955,-0.109046996,2
-0.11591725,-0.17274559,16
-0.1556994,0.34928083,1
-0.45813408,0.10298141,256
0.3774396,-0.014584809,1
0.49989066,-0.0983568,2
-0.288739,0.082209125,8
0.36033034,-0.16192292,1
-0.17810777,0.11735895,1
0.2557627,-0.14179648,2
-0.1527152,0.12977943,12
-0.24921423,0.017804498,4
0.040931974,-0.031721883,1
-0.14886315,-0.16299866,1
-0.23430024,-0.33882296,256
0.24118562,-0.10865048,2
0.24063762,-0.01819444,4
-0.07783232,-0.15989989,8
0.63973147,-0.036724754,1
-0.16880189,0.002150158,1
-0.39767328,0.07273721,48
-0.17508484,0.33622846,4
-0.24338523,-0.24739659,64
0.18986703,0.059141286,4
-0.20719019,0.23402832,150
0.08347473,-0.1305407,1
0.12727748,0.26876524,1
0.44181815,0.112487726,1
0.095900446,-0.043380458,1
0.51562613,-0.2452056,2
-0.23728937,-0.10089033,2
-0.30281654,0.232194,2
-0.2264239,0.06711913,1
0.59999794,0.050777208,1
-0.12663496,-0.17165825,4
-0.05169957,0.14239122,8
-0.10767367,0.11701948,2
-0.3108244,0.27504772,2
0.40024793,-0.10624367,8
-0.29885155,0.33936316,4
-0.013432801,0.45479202,4
-0.24937117,-0.2994475,1
0.17748569,0.5741532,1
0.0025997516,-0.15011795,1
-0.33267155,-0.24363562,2
0.19825652,0.3221624,1
0.6425245,-0.1673265,1
0.07408062,0.40724754,2
-0.0136072,-0.018725045,1
-0.07989084,-0.16154797,12
-0.22968647,0.04688217,1
-0.22518066,0.29221767,2
-0.035955396,-0.099815235,1
0.15616393,0.49473152,2
0.39233947,-0.034932233,1
0.1557975,-0.13618529,1
0.6418334,-0.089488566,1
-0.19527538,-0.2703826,64
-0.09358717,0.15991549,2
0.18125258,0.0017340424,4
0.19615607,-0.090274826,1
0.38023755,-0.09726957,1
0.0010286792,0.2511805,2
0.29642966,0.057331964,1
0.09341864,-0.14385268,4
-0.00042175525,-0.19147566,1
-0.12812674,-0.25341502,16
-0.16281518,-0.20407294,2
-0.18433405,-0.15696004,2
-0.015336427,0.6080866,1
0.018237812,-0.16317995,2
0.019167328,0.21903832,2
-0.31317097,0.0040157936,4
0.33671787,0.1747219,1
-0.23488967,-0.1661048,1
-0.11275729,-0.016516741,2
-0.16292436,0.20248507,2
0.016377887,-0.09850322,2
0.02732929,0.5213446,2
0.1677331,0.3179002,1
0.0037336154,-0.07915512,1
-0.26879957,-0.24634941,2
0.12951791,-0.08850474,4
0.03833689,-0.14674492,4
-0.16602978,-0.40959814,32
-0.3520278,0.031719014,512
-0.25575903,-0.14563198,64
-0.15049048,-0.12733242,8
0.14515975,0.031543102,2
0.45456046,-0.20146896,2
-0.032977857,0.19983184,2
-0.19177467,-0.21777588,4
-0.25274605,-0.020422183,6
-0.20568456,0.11105874,2
0.08576449,0.3820143,1
0.059452496,-0.012306637,64
-0.34828234,-0.0005493536,2
-0.0027555728,0.33629522,4
0.5994242,0.1616396,1
-0.25242546,-0.040172927,2
-0.25325236,0.2861281,2
0.42634013,-0.07137553,1
-0.27125475,0.07272553,64
-0.056641415,-0.26264372,4
0.43193278,-0.06937372,1
0.5505645,0.042476323,2
-0.18200427,-0.20766406,2
-0.2250039,0.017563453,2
-0.19877848,0.34092563,4
-0.2636864,0.2599431,2
-0.3461906,-0.13607718,8
-0.026962474,-0.25483868,2
-0.21308969,-0.010675632,1
0.20221445,0.5323644,1
-0.20411304,-0.103572786,2
0.6079789,-0.064584926,1
-0.29866612,0.06779483,16
0.25815913,-0.20194523,8
-0.14364313,0.1151136,1
-0.19553837,0.22380911,4
-0.1395102,-0.20152828,8
-0.16829954,0.016401231,512
-0.10251573,-0.30413932,2
0.024401717,0.22553839,2
-0.28079087,-0.099856496,16
0.55792713,-0.038246967,1
-0.18831325,-0.08008353,3
0.21396637,-0.22539693,2
-0.21269076,0.084621616,2
-0.27602014,-0.06467664,64
-0.20477632,0.27125588,142
-0.15674081,0.06965078,12
0.0062072002,-0.20847596,1
-0.21321316,-0.120941795,2
0.2195458,0.06375308,2
-0.113980696,-0.15275398,2
0.3347418,-0.069679655,2
-0.4278663,0.09242273,4
-0.079248145,0.13842916,32
0.09247269,-0.1217162,1
-0.2094782,-0.09962531,64
0.6603571,-0.10654917,1
0.11710433,-0.07073726,1
-0.27282894,0.22228695,2
-0.1692599,-0.23863561,64
-0.28356874,0.28399205,1
-0.17673154,0.084692866,4
-0.22693908,-0.028574249,512
-0.14583677,0.20320666,512
-0.21574627,-0.12934256,4
-0.001865959,0.34595227,1
0.08242762,0.15036292,4
0.32509288,-0.15609096,2
-0.36039445,0.013811399,512
-0.39910322,-0.14044909,128
-0.20688494,-0.19381654,1
-0.06377804,0.28804886,2
0.051991887,0.116368465,2
-0.039446402,0.015205871,2
0.1495803,-0.1998944,1
0.396235,-0.08229148,1
-0.36427584,0.012804851,8
-0.26234788,-0.13871858,16
-0.26060343,-0.074155994,128
0.17133808,0.29549164,2
-0.17115825,0.090596795,8
0.017016774,-0.34611183,2
0.29909086,0.025932917,2
0.10205663,-0.38565475,8
-0.3196255,0.021126118,2
-0.39496136,-0.09540888,512
-0.17949018,-0.015556957,1
-0.11691129,0.055857956,256
-0.18643117,0.10161882,1
0.14933172,0.37322956,1
-0.12202004,-0.259465,3
0.14639394,-0.033742234,2
-0.1760537,0.19689079,32
0.10520457,0.08924739,1
-0.27788013,-0.14501022,2
-0.33267736,0.122159466,1
-0.25623158,0.0045967055,2
-0.03295307,0.17169362,72
0.38012874,0.0059727845,1
-0.08589332,0.10487566,2
0.45990294,-0.006722513,4
0.6603571,-0.10654917,1
0.29600415,-0.2699167,2
-0.053263497,-0.12391306,1
-0.15983137,0.023852268,4
0.2217813,-0.03742207,2
-0.017971633,-0.19248556,1
-0.0022201242,0.21625955,1
0.21210456,-0.35167682,2
-0.39474964,0.088588364,16
-0.08522136,0.34296194,12
-0.058668923,0.3003669,2
-0.04566063,-0.120985985,2
0.49300116,0.00094106054,1
0.026341168,-0.123045616,2
-0.34916136,-0.121854044,8
-0.052692614,0.2709481,16
-0.027835881,-0.33387405,1
-0.06362643,-0.12452661,32
-0.26776472,0.007087547,8
-0.10228095,0.14238279,16
0.116299205,-0.1411741,1
-0.22363663,-0.06874225,40
-0.24271828,0.21168266,512
-0.3217088,0.055960175,4
0.3680518,0.16258805,2
-0.09543365,-0.22929381,2
-0.39122415,-0.03866107,128
